TagID,Species,Depth,Temp,Flow,Drought
C427,E.complanata,2.4,54,294,Severe
C428,E.complanata,1.6,77,367,Mild
C429,E.complanata,1.8,65,461,Flood
C430,E.complanata,1.4,58,395,Mild
C431,E.complanata,1.3,60,296,Severe
C432,E.complanata,0.7,62,211,Severe
C433,E.complanata,1.2,66,265,Severe
C434,E.complanata,1.2,72,253,Severe
C435,E.complanata,1.9,64,291,Severe
C436,E.complanata,1.8,62,421,Mild
C437,E.complanata,1,68,419,Mild
C438,E.complanata,2.5,59,514,Flood
C439,E.complanata,1.7,59,489,Flood
C440,E.complanata,1.3,58,278,Severe
C441,E.complanata,1.5,50,418,Mild
C442,E.complanata,1.7,70,369,Mild
C443,E.complanata,2.3,58,472,Flood
C444,E.complanata,1.4,60,362,Mild
C445,E.complanata,2.2,67,390,Mild
C446,E.complanata,1.4,72,450,Mild
C447,Ecomplanata,1.8,64,398,Mild
C448,Ecomplanata,1.7,73,385,Mild
C449,E.complanata,1.6,67,378,Mild
C450,E.complanata,2.1,52,395,Mild
C451,E.complanata,2.1,62,288,Severe
C452,E.complanata,1.8,68,530,Flood
C453,E.complanata,1.7,77,638,Flood
C454,E.complanata,0.9,76,413,Mild
C455,E.complanata,1.1,79,304,Severe
C456,E.complanata,1.7,80,408,Mild
C457,E.icterina,5.5,52,351,Mild
C458,E.icterina,3.9,72,393,Mild
C459,E.icterina,7,63,516,Flood
C460,E.icterina,7.4,60,449,Mild
C461,E.icterina,4,58,424,Mild
C462,E.icterina,5.9,48,454,Flood
C463,E.icterina,4.5,66,434,Mild
C464,E.icterina,3.2,77,441,Mild
C465,E.icterina,8.7,60,425,Mild
C466,E.icterina,2.3,74,376,Mild
C467,E.icterina,4.6,58,466,Flood
C468,E.icterina,4.4,68,364,Mild
C469,E.icterina,1.3,74,493,Flood
C470,E.icterina,5.4,69,463,Flood
C471,E.icterina,5.9,56,383,Mild
C472,E.icterina,2.4,71,342,Severe
C473,E.icterina,99,42,436,Mild
C474,E.icterina,3.8,70,338,Severe
C475,E.icterina,7.8,54,411,Mild
C476,E.icterina,3.9,66,385,Mild
C477,E.icterina,6.1,51,422,Mild
C478,E.icterina,1.8,76,354,Mild
C479,E.icterina,2,80,273,Severe
C480,E.icterina,6.7,69,507,Flood
C481,E.icterina,0,73,348,Severe
C482,E.icterina,6.1,49,455,Flood
C483,E.icterina,5.7,58,345,Severe
C484,E.icterina,5.5,64,428,Mild
C485,E.icterina,6.3,58,465,Flood
C486,E.icterina,4,72,477,Flood
R106,E.fraterna,2.5,50,398,Mild
R107,E.fraterna,0.9,61,226,Severe
R108,E.fraterna,1.7,69,581,Flood
R109,E.fraterna,2.5,63,495,Flood
R110,E.fraterna,2.6,64,464,Flood
R111,E.fraterna,1.8,73,411,Mild
R112,E.fraterna,2.2,62,398,Mild
R113,E.fraterna,2.2,63,385,Mild
R114,E.fraterna,3,64,543,Flood
R115,E.fraterna,0.7,57,376,Mild
R116,E.fraterna,0.5,68,266,Severe
R117,E.fraterna,3,66,397,Mild
R118,E.fraterna,3.1,60,453,Flood
R119,E.fraterna,2.3,58,383,Mild
R120,E.fraterna,2.9,61,403,Mild
R121,E.fraterna,1.9,60,304,Severe
R122,E.fraterna,1.9,40,533,Flood
R123,E.fraterna,2,52,374,Mild
R124,E.fraterna,2.7,54,418,Mild
R125,E.fraterna,2.6,53,476,Flood
R126,E.fraterna,0.6,54,316,Severe
R127,E.fraterna,3.2,61,409,Mild
R128,E.fraterna,2,60,485,Flood
R129,E.fraterna,1.6,73,385,Mild
R130,E.fraterna,2.1,64,548,Flood
R131,E.fraterna,3.5,39,457,Flood
R132,E.fraterna,2.8,40,438,Mild
R133,E.fraterna,1.6,75,446,Mild
R134,E.fraterna,4,41,552,Flood
R135,E.fraterna,1.3,78,438,Mild
