"weight","Time","Chick","Diet"
42,"0","4","1"
49,"2","4","1"
56,"4","4","1"
67,"6","4","1"
74,"8","4","1"
87,"10","4","1"
102,"12","4","1"
108,"14","4","1"
136,"16","4","1"
154,"18","4","1"
41,"0","5","1"
42,"2","5","1"
48,"4","5","1"
60,"6","5","1"
79,"8","5","1"
106,"10","5","1"
141,"12","5","1"
164,"14","5","1"
197,"16","5","1"
199,"18","5","1"
41,"0","6","1"
49,"2","6","1"
59,"4","6","1"
74,"6","6","1"
97,"8","6","1"
124,"10","6","1"
141,"12","6","1"
148,"14","6","1"
155,"16","6","1"
160,"18","6","1"
41,"0","7","1"
49,"2","7","1"
57,"4","7","1"
71,"6","7","1"
89,"8","7","1"
112,"10","7","1"
146,"12","7","1"
174,"14","7","1"
218,"16","7","1"
250,"18","7","1"
42,"0","9","1"
51,"2","9","1"
59,"4","9","1"
68,"6","9","1"
85,"8","9","1"
96,"10","9","1"
90,"12","9","1"
92,"14","9","1"
93,"16","9","1"
100,"18","9","1"
41,"0","10","1"
44,"2","10","1"
52,"4","10","1"
63,"6","10","1"
74,"8","10","1"
81,"10","10","1"
89,"12","10","1"
96,"14","10","1"
101,"16","10","1"
112,"18","10","1"
43,"0","11","1"
51,"2","11","1"
63,"4","11","1"
84,"6","11","1"
112,"8","11","1"
139,"10","11","1"
168,"12","11","1"
177,"14","11","1"
182,"16","11","1"
184,"18","11","1"
41,"0","12","1"
49,"2","12","1"
56,"4","12","1"
62,"6","12","1"
72,"8","12","1"
88,"10","12","1"
119,"12","12","1"
135,"14","12","1"
162,"16","12","1"
185,"18","12","1"
41,"0","13","1"
48,"2","13","1"
53,"4","13","1"
60,"6","13","1"
65,"8","13","1"
67,"10","13","1"
71,"12","13","1"
70,"14","13","1"
71,"16","13","1"
81,"18","13","1"
40,"0","21","2"
50,"2","21","2"
62,"4","21","2"
86,"6","21","2"
125,"8","21","2"
163,"10","21","2"
217,"12","21","2"
240,"14","21","2"
275,"16","21","2"
307,"18","21","2"
41,"0","22","2"
55,"2","22","2"
64,"4","22","2"
77,"6","22","2"
90,"8","22","2"
95,"10","22","2"
108,"12","22","2"
111,"14","22","2"
131,"16","22","2"
148,"18","22","2"
43,"0","23","2"
52,"2","23","2"
61,"4","23","2"
73,"6","23","2"
90,"8","23","2"
103,"10","23","2"
127,"12","23","2"
135,"14","23","2"
145,"16","23","2"
163,"18","23","2"
42,"0","24","2"
52,"2","24","2"
58,"4","24","2"
74,"6","24","2"
66,"8","24","2"
68,"10","24","2"
70,"12","24","2"
71,"14","24","2"
72,"16","24","2"
72,"18","24","2"
40,"0","25","2"
49,"2","25","2"
62,"4","25","2"
78,"6","25","2"
102,"8","25","2"
124,"10","25","2"
146,"12","25","2"
164,"14","25","2"
197,"16","25","2"
231,"18","25","2"
42,"0","26","2"
48,"2","26","2"
57,"4","26","2"
74,"6","26","2"
93,"8","26","2"
114,"10","26","2"
136,"12","26","2"
147,"14","26","2"
169,"16","26","2"
205,"18","26","2"
39,"0","27","2"
46,"2","27","2"
58,"4","27","2"
73,"6","27","2"
87,"8","27","2"
100,"10","27","2"
115,"12","27","2"
123,"14","27","2"
144,"16","27","2"
163,"18","27","2"
39,"0","28","2"
46,"2","28","2"
58,"4","28","2"
73,"6","28","2"
92,"8","28","2"
114,"10","28","2"
145,"12","28","2"
156,"14","28","2"
184,"16","28","2"
207,"18","28","2"
39,"0","29","2"
48,"2","29","2"
59,"4","29","2"
74,"6","29","2"
87,"8","29","2"
106,"10","29","2"
134,"12","29","2"
150,"14","29","2"
187,"16","29","2"
230,"18","29","2"
42,"0","31","3"
53,"2","31","3"
62,"4","31","3"
73,"6","31","3"
85,"8","31","3"
102,"10","31","3"
123,"12","31","3"
138,"14","31","3"
170,"16","31","3"
204,"18","31","3"
41,"0","32","3"
49,"2","32","3"
65,"4","32","3"
82,"6","32","3"
107,"8","32","3"
129,"10","32","3"
159,"12","32","3"
179,"14","32","3"
221,"16","32","3"
263,"18","32","3"
39,"0","33","3"
50,"2","33","3"
63,"4","33","3"
77,"6","33","3"
96,"8","33","3"
111,"10","33","3"
137,"12","33","3"
144,"14","33","3"
151,"16","33","3"
146,"18","33","3"
41,"0","34","3"
49,"2","34","3"
63,"4","34","3"
85,"6","34","3"
107,"8","34","3"
134,"10","34","3"
164,"12","34","3"
186,"14","34","3"
235,"16","34","3"
294,"18","34","3"
41,"0","35","3"
53,"2","35","3"
64,"4","35","3"
87,"6","35","3"
123,"8","35","3"
158,"10","35","3"
201,"12","35","3"
238,"14","35","3"
287,"16","35","3"
332,"18","35","3"
39,"0","36","3"
48,"2","36","3"
61,"4","36","3"
76,"6","36","3"
98,"8","36","3"
116,"10","36","3"
145,"12","36","3"
166,"14","36","3"
198,"16","36","3"
227,"18","36","3"
41,"0","37","3"
48,"2","37","3"
56,"4","37","3"
68,"6","37","3"
80,"8","37","3"
83,"10","37","3"
103,"12","37","3"
112,"14","37","3"
135,"16","37","3"
157,"18","37","3"
41,"0","38","3"
49,"2","38","3"
61,"4","38","3"
74,"6","38","3"
98,"8","38","3"
109,"10","38","3"
128,"12","38","3"
154,"14","38","3"
192,"16","38","3"
232,"18","38","3"
42,"0","39","3"
50,"2","39","3"
61,"4","39","3"
78,"6","39","3"
89,"8","39","3"
109,"10","39","3"
130,"12","39","3"
146,"14","39","3"
170,"16","39","3"
214,"18","39","3"
42,"0","42","4"
49,"2","42","4"
63,"4","42","4"
84,"6","42","4"
103,"8","42","4"
126,"10","42","4"
160,"12","42","4"
174,"14","42","4"
204,"16","42","4"
234,"18","42","4"
42,"0","43","4"
55,"2","43","4"
69,"4","43","4"
96,"6","43","4"
131,"8","43","4"
157,"10","43","4"
184,"12","43","4"
188,"14","43","4"
197,"16","43","4"
198,"18","43","4"
42,"0","44","4"
51,"2","44","4"
65,"4","44","4"
86,"6","44","4"
103,"8","44","4"
118,"10","44","4"
127,"12","44","4"
138,"14","44","4"
145,"16","44","4"
146,"18","44","4"
41,"0","45","4"
50,"2","45","4"
61,"4","45","4"
78,"6","45","4"
98,"8","45","4"
117,"10","45","4"
135,"12","45","4"
141,"14","45","4"
147,"16","45","4"
174,"18","45","4"
40,"0","46","4"
52,"2","46","4"
62,"4","46","4"
82,"6","46","4"
101,"8","46","4"
120,"10","46","4"
144,"12","46","4"
156,"14","46","4"
173,"16","46","4"
210,"18","46","4"
41,"0","47","4"
53,"2","47","4"
66,"4","47","4"
79,"6","47","4"
100,"8","47","4"
123,"10","47","4"
148,"12","47","4"
157,"14","47","4"
168,"16","47","4"
185,"18","47","4"
39,"0","48","4"
50,"2","48","4"
62,"4","48","4"
80,"6","48","4"
104,"8","48","4"
125,"10","48","4"
154,"12","48","4"
170,"14","48","4"
222,"16","48","4"
261,"18","48","4"
40,"0","49","4"
53,"2","49","4"
64,"4","49","4"
85,"6","49","4"
108,"8","49","4"
128,"10","49","4"
152,"12","49","4"
166,"14","49","4"
184,"16","49","4"
203,"18","49","4"
41,"0","50","4"
54,"2","50","4"
67,"4","50","4"
84,"6","50","4"
105,"8","50","4"
122,"10","50","4"
155,"12","50","4"
175,"14","50","4"
205,"16","50","4"
234,"18","50","4"
